Wall time,Step,Value
1778055043.5260215,49,0.12720589339733124
1778055085.9131098,99,0.14301471412181854
1778055128.5300992,149,0.15992647409439087
1778055171.3234313,199,0.1672794222831726
1778055214.0301268,249,0.16973039507865906
1778055256.8105812,299,0.18921570479869843
1778055299.4756546,349,0.20012256503105164
1778055342.2823164,399,0.19093137979507446
1778055384.9723656,449,0.2236519753932953
1778055427.7122176,499,0.19571079313755035
1778055483.1910276,549,0.21507354080677032
1778055525.8579967,599,0.21556374430656433
1778055568.6959705,649,0.21102942526340485
1778055611.4536824,699,0.22830884158611298
1778055654.1752691,749,0.20220589637756348
1778055696.923053,799,0.22095589339733124
1778055739.6803188,849,0.23345589637756348
1778055782.4386315,899,0.2238970696926117
1778055825.3242242,949,0.22745099663734436
1778055868.162677,999,0.2345588356256485
1778055920.3780925,1049,0.2296568751335144
1778055963.0078738,1099,0.250367671251297
1778056005.7676497,1149,0.24313727021217346
1778056048.4230287,1199,0.24718138575553894
1778056090.993296,1249,0.2508578598499298
1778056133.662628,1299,0.24117648601531982
1778056176.239543,1349,0.2591911852359772
1778056218.9139957,1399,0.2513480484485626
1778056261.6572149,1449,0.26360294222831726
1778056307.6474628,1499,0.2506127655506134
1778056359.883832,1549,0.2512255012989044
1778056402.5654626,1599,0.24754902720451355
1778056445.1619854,1649,0.24644608795642853
1778056487.9107053,1699,0.2546568810939789
1778056530.5945163,1749,0.25404414534568787
1778056573.2542658,1799,0.2537990212440491
1778056616.006617,1849,0.26875001192092896
1778056659.0457118,1899,0.25404414534568787
1778056701.8096983,1949,0.25232845544815063
1778056747.5605798,1999,0.26335784792900085
1778056799.7591856,2049,0.25404414534568787
1778056842.336221,2099,0.26335784792900085
1778056885.0332587,2149,0.2544117867946625
1778056927.7900527,2199,0.26274511218070984
1778056970.4170275,2249,0.2670343220233917
1778057013.0998333,2299,0.2723039388656616
1778057055.8991208,2349,0.2613970637321472
1778057098.5778437,2399,0.260049045085907
1778057141.29433,2449,0.2651960849761963
1778057187.054977,2499,0.27843138575553894
1778057239.2142947,2549,0.2670343220233917
1778057281.7967994,2599,0.27794119715690613
1778057324.539844,2649,0.28970590233802795
1778057367.2954168,2699,0.2751225531101227
1778057409.9378579,2749,0.27316176891326904
1778057452.5651178,2799,0.29975491762161255
1778057495.382903,2849,0.2861519753932953
1778057538.157925,2899,0.291299045085907
1778057580.904192,2949,0.2860294282436371
1778057627.157709,2999,0.27867648005485535
1778057679.6107218,3049,0.2958333492279053
1778057722.3438241,3099,0.28897061944007874
1778057765.4395978,3149,0.3017157018184662
1778057808.2549264,3199,0.2774510085582733
1778057850.9229825,3249,0.2988970875740051
1778057893.5702467,3299,0.2861519753932953
1778057936.4604313,3349,0.30085787177085876
1778057979.1460805,3399,0.28541669249534607
1778058021.8945317,3449,0.27953433990478516
1778058068.1932564,3499,0.29571080207824707
1778058120.5509422,3549,0.27892157435417175
1778058163.2250242,3599,0.27965688705444336
1778058206.1339111,3649,0.2930147349834442
1778058248.8526282,3699,0.29375001788139343
1778058291.5928545,3749,0.29399511218070984
1778058334.233623,3799,0.3013480603694916
1778058376.8755126,3849,0.2763480544090271
1778058419.5524013,3899,0.28946080803871155
1778058462.2542102,3949,0.29387256503105164
1778058508.481546,3999,0.3033088445663452
1778058560.5713096,4049,0.2920343279838562
1778058603.0635324,4099,0.292892187833786
1778058645.7396863,4149,0.2904411852359772
1778058688.3796437,4199,0.29019609093666077
1778058730.8902233,4249,0.30049020051956177
1778058773.7066357,4299,0.291911780834198
1778058816.283665,4349,0.29436275362968445
1778058858.8149195,4399,0.28468137979507446
1778058901.409325,4449,0.30061277747154236
1778058947.2214212,4499,0.2916666865348816
1778058999.4370584,4549,0.3026961088180542
1778059041.9908621,4599,0.29387256503105164
1778059084.6195168,4649,0.30441176891326904
1778059127.7396314,4699,0.28909316658973694
1778059170.3598542,4749,0.30085787177085876
1778059212.983643,4799,0.28909316658973694
1778059255.7333934,4849,0.27965688705444336
1778059298.455227,4899,0.30992648005485535
1778059341.0693398,4949,0.293504923582077
1778059386.8904896,4999,0.3084559142589569
1778059438.9841096,5049,0.2970588505268097
1778059481.5545785,5099,0.30416667461395264
1778059524.291326,5149,0.29387256503105164
1778059566.9650419,5199,0.303186297416687
1778059609.7322357,5249,0.31066179275512695
1778059652.4097683,5299,0.31409314274787903
1778059695.090179,5349,0.2920343279838562
1778059737.6356988,5399,0.2980392277240753
1778059780.2124586,5449,0.3075980544090271
1778059826.0283642,5499,0.29375001788139343
1778059878.2925558,5549,0.2960784435272217
